user_id,similarity_zero_count,tracks_in_top20,top20_tracks_count
355846758,92,9,20
1,92,0,20
143323595,92,3,20
1084970499,92,0,20
56426269,92,3,20
1021422385,92,0,20
561344419,92,0,20
736750737,92,1,20
766130229,92,1,20
21,92,0,20
22,92,0,20
40,92,0,20
680995689,92,0,20
378118909,92,14,20
1021139334,92,1,20
166220527,92,0,20
166845152,92,6,20
171754634,92,1,20
180854663,92,9,20
186806131,92,1,20
194118736,92,0,20
209865523,92,10,20
226492618,92,2,20
230388129,92,8,20
241869361,92,12,20
269487052,92,3,20
279244851,92,0,20
285581821,92,7,20
297922641,92,4,20
311022827,92,1,20
319387122,92,0,20
320332176,92,2,20
5898,92,3,20
10054150,92,1,20
12350095,92,2,20
50331449,92,10,20
51503353,92,6,20
81497874,92,10,20
99839399,92,0,20
128579620,92,0,20
352807988,92,0,20
376995746,92,3,20
393467750,92,5,20
488823322,92,4,20
491119963,92,1,20
506242790,92,7,20
515869754,92,0,20
518142219,92,1,20
521411927,92,4,20
559593247,92,3,20
560263909,92,0,20
600431061,92,0,20
627846415,92,10,20
628658916,92,0,20
730394404,92,0,20
730654420,92,0,20
737472328,92,0,20
739428407,92,0,20
421957669,92,1,20
456677473,92,3,20
653177785,92,5,20
661082136,92,6,20
694108330,92,0,20
702881370,92,1,20
721409066,92,2,20
740919706,92,0,20
746146078,92,2,20
747372102,92,2,20
789632246,92,1,20
792792200,92,0,20
814413015,92,0,20
814490422,92,0,20
818511175,92,0,20
820052207,92,1,20
822685022,92,0,20
823332353,92,0,20
825985478,92,5,20
844511087,92,0,20
848461386,92,0,20
851530509,92,0,20
852752651,92,0,20
855398318,92,8,20
862790585,92,0,20
864455624,92,2,20
874874008,92,0,20
877600746,92,0,20
890805590,92,0,20
1019510465,92,0,20
1029461419,92,0,20
1047859282,92,0,20
1055815064,92,4,20
1060234146,92,0,20
1076936838,92,0,20
